product_i,name_i,product_j,name_j,weighted_similarity
7326,"Iron or steel: grinding balls and similar articles for mills, articles and wire articles",8483,"Transmission shafts (including cam shafts and crank shafts) and cranks, Bearing housings, incorporating ball or roller bearings, and others",0.935
7304,"Iron or steel: seamless tubes, pipes and casing",8431,"Machinery, Lifts, skip hoists or escalators, Machinery parts and Boring or sinking machinery",0.9343
8428,"Lifts and skip hoists, Elevators and conveyors, Escalators and moving walkways, and others",8438,"Machinery: industrial, used in the industrial preparation or manufacture of food or drink, and others",0.9343
8207,"Tools, interchangeable: rock drilling or earth boring tools and (for machine or hand tools, whether or not power-operated)",8431,"Machinery, Lifts, skip hoists or escalators, Machinery parts and Boring or sinking machinery",0.9333
7308,"Iron or steel: structures and parts (bridges, towers, doors, scaffolding)",8437,Machines and Machinery,0.9328
8414,"Pumps, Compressors, Fans, Hoods and Pumps and compressors",8421,Centrifuges and Machinery,0.9321
7308,"Iron or steel: structures and parts (bridges, towers, doors, scaffolding)",7309,"Iron or steel reservoirs and tanks, over 300l",0.931
8431,"Machinery, Lifts, skip hoists or escalators, Machinery parts and Boring or sinking machinery",8480,"Moulding boxes, Mould bases, Moulding patterns and Moulds",0.929
8428,"Lifts and skip hoists, Elevators and conveyors, Escalators and moving walkways, and others",8436,"Machinery, Poultry incubators and brooders and Poultry-keeping machinery",0.9282
8412,"Engines and motors: reaction, hydraulic and pneumatic power engines",8477,"Machinery: injection-moulding machines, extruders, blow moulding machines, and others",0.9282
8466,Machine-tools: parts and accessories,8707,"Vehicle bodies, including cabs",0.9269
7204,Ferrous waste and scrap and Ferrous products,8437,Machines and Machinery,0.9268
8207,"Tools, interchangeable: rock drilling or earth boring tools and (for machine or hand tools, whether or not power-operated)",8409,"Engines: parts of aircraft engines (spark-ignition reciprocating or rotary internal combustion piston engines), parts, and others",0.9261
8428,"Lifts and skip hoists, Elevators and conveyors, Escalators and moving walkways, and others",8479,"Machinery and mechanical appliances, Machinery, Machines and Machines and mechanical appliances",0.9253
3920,"Plastics: sheets, film, foil and strip (not self-adhesive), laminated, supported or similarly combined with other materials",3925,Plastics: builders' ware,0.924
8483,"Transmission shafts (including cam shafts and crank shafts) and cranks, Bearing housings, incorporating ball or roller bearings, and others",8707,"Vehicle bodies, including cabs",0.9235
8431,"Machinery, Lifts, skip hoists or escalators, Machinery parts and Boring or sinking machinery",8438,"Machinery: industrial, used in the industrial preparation or manufacture of food or drink, and others",0.9214
8438,"Machinery: industrial, used in the industrial preparation or manufacture of food or drink, and others",8479,"Machinery and mechanical appliances, Machinery, Machines and Machines and mechanical appliances",0.9204
8465,"Machine-tools: for working wood, cork, bone, hard rubber",8483,"Transmission shafts (including cam shafts and crank shafts) and cranks, Bearing housings, incorporating ball or roller bearings, and others",0.9204
8409,"Engines: parts of aircraft engines (spark-ignition reciprocating or rotary internal combustion piston engines), parts, and others",8483,"Transmission shafts (including cam shafts and crank shafts) and cranks, Bearing housings, incorporating ball or roller bearings, and others",0.9201
7204,Ferrous waste and scrap and Ferrous products,8409,"Engines: parts of aircraft engines (spark-ignition reciprocating or rotary internal combustion piston engines), parts, and others",0.9194
8409,"Engines: parts of aircraft engines (spark-ignition reciprocating or rotary internal combustion piston engines), parts, and others",8707,"Vehicle bodies, including cabs",0.9185
7326,"Iron or steel: grinding balls and similar articles for mills, articles and wire articles",8479,"Machinery and mechanical appliances, Machinery, Machines and Machines and mechanical appliances",0.9172
4901,"Printed matter: in single sheets, dictionaries and books",8442,Machinery and equipment for preparing or making printing components,0.9157
7304,"Iron or steel: seamless tubes, pipes and casing",8409,"Engines: parts of aircraft engines (spark-ignition reciprocating or rotary internal combustion piston engines), parts, and others",0.9156
8431,"Machinery, Lifts, skip hoists or escalators, Machinery parts and Boring or sinking machinery",8486,"Machines for semiconductor, flat panel display and mask manufacture",0.9149
8426,Cranes and Cranes and derricks,8609,Containers: (including containers for transport of fluids) specially designed and equipped for carriage by one or more modes of transport,0.9145
3926,"Plastics: office or school supplies, articles of apparel and clothing accessories (including gloves, mittens and mitts), and others",4016,"Rubber: vulcanised, mats, gaskets, erasers and other moulded articles",0.9145
